Name,Cost,Cuisine,Featured_in,Hours,Votes,Rating,Location,Type,View_menu,Book_table,Outlets,Delivery,Call
Amma's Pastries,400,1, ,8am – 10pm (Mon-Sun),380,4.2,BTM,1,1,0,22,0,1
Ammachide Addukala,300,1, ,8am – 10:30pm (Mon-Sun),5,3.3,Bannerghatta Road,1,1,0, ,0,1
Ammi's Biryani,500,2, ,11am – 11pm (Mon-Sun),388,2.6,Bannerghatta Road,1,1,0,7,0,1
Amnesia - The Poolside Bar,2000,3, ,11am – 1am (Mon-Sun),14,3.7,"The Chancery Pavilion, Residency Road",2,1,0, ,0,0
Amoeba Sports Bar,1000,2,1,11am – 11pm (Mon-Sun),540,4,"Ascendas Park Square, Whitefield",1,1,1, ,0,1
Amontron,650,1,1,9am – 11:30pm (Mon-Sun),409,3.9,BTM,1,1,1, ,0,1
Amour Cafe,500,3, ,"10:30am – 10:30pm (Mon, Wed, Thu, Fri, Sat, Sun)...",38,3.7,Jayanagar, ,1,1, ,0,1
Amravathi Restaurants & Caterers,400,2, ,11am – 11pm (Mon-Sun),6,3.2,BTM,1,0,0, ,0,1
Amrit,600,2, ,"11am – 4pm, 7pm – 10:30pm (Mon-Sun)",23,3.6,"Bangalore Central, JP Nagar",1,1,0, ,0,1
Amrith Ice Cream,100,2, ,"11am – 9:30pm (Mon, Wed, Thu, Fri, Sat, Sun)...",79,4.1,Malleshwaram,1,1,0, ,0,1
Amritsari Kulcha Land,200,1,1,"11am – 5pm, 7pm – 11pm (Mon-Sun)",236,4,JP Nagar,1,1,1, ,0,1
Amruta,500,2, ,7:30am – 11pm (Mon-Sun),19,3.8,Majestic,1,1,0, ,0,1
Amruth Parkland,900,2, ,11am – 10:30pm (Mon-Sun),49,3.5,Sarjapur Road,2,1,0, ,0,1
Amrutha Grand Restaurant,500,3, ,"11am – 4pm, 7pm – 11pm (Mon-Sun)",195,3.5,Sarjapur Road,1,1,1,1,0,1
Amrutha Sweets,200,2, ,9am – 9:30pm (Mon-Sun),99,4,HSR,1,1,0,4,0,1
Amulya Veg Restaurant,650,3, ,7am – 10:30pm (Mon-Sun),31,3.4,Majestic,1,1,1, ,0,1
An Egg Story,400,1, ,7am – 10:30pm (Mon-Sun),212,4,Kalyan Nagar,1,1,1,1,0,1
Anand Dum Biryani,350,1,1,"Closed (Mon, Wed, Thu, Sat), 7am – 10am (Tue, Fri...",52,3.9,Whitefield,1,1,0, ,0,1
Anand Sweets and Savouries,350,2, ,9am – 10:30pm (Mon-Sun),211,4.1,Sarjapur Road,2,1,0,11,0,1
Anand's Chats,150,1, ,12noon – 10pm (Mon-Sun),10,3.4,"5th Avenue, Brigade Road",1,1,0, ,0,1
Anda Ka Funda,250,2, ,10am – 10:30pm (Mon-Sun),85,3.2,Jayanagar,1,1,1,2,0,1
Andal Mess,250,2, ,7am – 1am (Mon-Sun),119,3.7,Indiranagar, ,1,1,2,0,1
Ande Ka Funda,200,1, ,9am – 11pm (Mon-Sun),24,3.6,BTM,1,1,0, ,0,1
Ande Ka Funda,200,3, ,8am – 11pm (Mon-Sun),110,3.7,Kumaraswamy Layout,1,1,1,13,0,1
Andhra Amigos,400,3,1,7:30am – 11pm (Mon-Sun),77,3.6,Electronic City,1,1,1, ,0,1
Andhra Bhojanam,600,3, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",13,3.2,BTM,1,1,1, ,0,1
Andhra Bhojanam,600,3, ,"12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)",19,3.5,Bannerghatta Road,1,0,0, ,0,1
Andhra Bhojanam,400,3, ,"11am – 11pm (Mon),7:30am – 1am (Tue-Sun)",25,3.7,Bellandur,1,1,1, ,0,1
Andhra Biriyani,400,3, ,"11:30am – 3:30pm, 6pm – 10:30pm (Mon-Sun)",11,3.3,KR Puram,1,1,0, ,0,1
Andhra Biryanis,500,3, ,"12noon – 4pm, 7pm – 11:30pm (Mon-Sun)",85,3.9,Whitefield,1,1,1, ,0,1
Andhra Biryanis,500,3, ,"12noon – 4pm, 7pm – 10:30pm (Mon-Sun)",414,4,Nagawara,1,1,1, ,0,1
Andhra Chettinad Cuisine,250,3, ,7am – 11pm (Mon-Sun),24,3.6,Electronic City,1,1,1,1,0,1
Andhra Food Cafe (AFC),250,3,1,"12midnight – 1am, 12:15pm – 12midnight (Mon-Sun)",23,3.5,Electronic City,1,1,1, ,0,1
Andhra Kafe,500,1, ,11am – 11pm (Mon-Sun),218,3.7,Whitefield,1,1,1, ,0,0
Andhra Kitchen,400,1, ,"11am – 4pm, 7pm – 11pm (Mon-Sun)",146,3.7,BTM,1,1,1,4,0,0
Andhra Mess,200,1, ,"11am – 3pm, 6pm – 11:30pm (Mon-Sun)",7,3.4,Electronic City,1,1,0, ,0,1
Andhra Ruchulu,500,2, ,11am – 11pm (Mon-Sun),86,3.6,Brookefield,1,1,1,1,0,1
Andhra Ruchulu,800,4, ,"12noon – 4pm, 7pm – 10:30pm (Mon-Sun)",583,4,"The President Hotel, Jayanagar",1,1,1,1,0,1
Andhra Spice Mess,250,4, ,11am – 10:30pm (Mon-Sun),4,3.3,New BEL Road,1,1,1, ,0,1
Andhra Spices,400,3, ,12noon – 1am (Mon-Sun),4,3.2,Brookefield,1,1,0, ,0,1
Andhra Spicy,300,1, ,"6am – 12noon, 5pm – 11pm (Mon-Sun)",10,3.5,Bellandur,1,1,0, ,0,1
Andhra Vantillu,350,2, ,"1pm – 3pm, 6:30pm – 10pm (Mon-Sun)",6,3.3,Marathahalli,1,1,0, ,0,1
Andhra Vilaas,350,2, ,"11:30am – 4pm, 6:30pm – 12midnight (Mon-Sun)",43,3.6,Sarjapur Road,1,1,1, ,0,1
Andhra Vindu,800,5,1,"11am – 4pm, 7pm – 11pm (Mon-Sun)",252,3.9,Yelahanka,1,1,1, ,0,1
Angaar Indian Grill & Restaurant,400,3, ,12noon – 12:30AM (Mon-Sun),102,3.8,HBR Layout,1,1,0, ,0,1
Angel Mutton Leg Soup,200,1, ,"6:30am – 10am, 5:30pm – 9:30pm (Mon-Sun)",16,3.3,Jeevan Bhima Nagar,1,1,0, ,0,1
Angel's Kitchen,300,1, ,7:30am – 10pm (Mon-Sun),7,3.4,Whitefield,1,1,0, ,0,1
Angiie's Cafe,450,1, ,8am – 9pm (Mon-Sun),25,3.7,Sarjapur Road,1,1,1, ,0,1
Aniram's,500,2,1,8pm – 4am (Mon-Sun),693,4,Jayanagar,1,1,1, ,0,1
Anjappar,650,2, ,11:30am – 11:30pm (Mon-Sun),1127,3.9,Koramangala 4th Block,1,1,0,4,0,1
Anju's Cafe,400,2, ,"Closed (Mon),11am – 9:30pm (Tue-Sun)",144,4,JP Nagar,1,1,0,1,0,1
Anna Kuteera,400,3, ,7am – 11pm (Mon-Sun),728,3.9,Banashankari,1,1,1,1,0,1
Annabell,800,2, ,"11am – 12:15AM (Mon, Tue, Wed, Thu, Fri, Sun)...",251,4,Indiranagar,2,1,1,1,0,1
Annalakshmi,500,1, ,11am – 11pm (Mon-Sun),27,3.5,Bellandur,1,1,1, ,0,1
Annapoorani,400,1, ,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",426,3.9,Indiranagar,1,1,0, ,0,1
Annapoorna Andhra Restaurant,400,3, ,"12noon – 4:30pm, 7pm – 11:30pm (Mon-Sun)",44,3.6,Hebbal,1,1,1, ,0,1
Annapoorna Refreshments and Sweets,250,4, ,7am – 9:30pm (Mon-Sun),46,3.5,Sahakara Nagar,1,1,0, ,0,1
Annapoorni Grand,450,3, ,12noon – 11pm (Mon-Sun),75,3.9,Majestic,1,1,0, ,0,0
Annapoorweshwari Chat Shop,100,1, ,2pm – 10pm (Mon-Sun),12,3.5,Yelahanka,1,1,0, ,0,0
Annappa's Naati Mane,300,2, ,8:30am – 11:30pm (Mon-Sun),66,3.2,Rajajinagar,1,1,1, ,0,1
Annapurna Bengali Restaurant,500,1, ,"8am – 3:30pm, 6:30pm – 11pm (Mon-Sat),Closed (Sun)",47,3.9,Whitefield,1,1,0, ,0,1
Annapurna Foods,400,3, ,11:30am – 12:30AM (Mon-Sun),10,3.6,Bellandur,1,1,1, ,0,1
Antarastriya,200,5, ,"12noon – 10:8pm (Mon),12noon – 10pm (Tue-Sun)",443,3.9,Malleshwaram,1,1,1, ,0,1
ANTIGRAVITY,1000,4,4,"12noon – 11:30pm (Mon, Tue, Wed, Thu, Sun), 12noon...",201,4.1,Marathahalli, ,1,1, ,0,1
Anu Momos,300,1, ,2pm – 11:30pm (Mon-Sun),5,3.3,Kammanahalli,2,1,0, ,0,1
Anupam's Coast II Coast,1400,4,1,"11:30am – 3pm, 6:30pm – 11pm (Mon-Sun)",834,4.1,MG Road,1,1,1,2,1,1
Apna Punjab,450,2, ,8am – 10:30pm (Mon-Sun),440,3.5,BTM,1,1,1, ,0,1
Apna Veg Dhaba,400,2, ,"11:30am – 4pm, 6:30pm – 12midnight...",32,3.2,Bellandur, ,1,1, ,0,1
Apna Veg Dhaba,400,2, ,"11:30am – 4pm, 6:30pm – 12midnight...",32,3.2,Bellandur,1,1,1, ,0,1
Apoorva Multi Cuisine Restaurant,750,5, ,"12noon – 4pm, 6:30pm – 11pm (Mon-Sun)",226,3.9,Brookefield,1,1,1, ,0,1
Appam Corner,300,2, ,"Closed (Mon),8am – 11am, 6:30pm – 9:30pm (Tue-Sun)",45,4.1,Kalyan Nagar,1,1,0, ,0,1
Appetite Workstation,500,3, ,12noon – 11pm (Mon-Sun),10,3.5,Sarjapur Road,1,1,1, ,0,1
Apsara Ice Cream,200,2,1,"12noon – 11pm (Mon-Thu),12noon – 12midnight...",191,4.6,Indiranagar,1,1,0,10,0,1
AQNI,700,2, ,12:30pm – 11pm (Mon-Sun),87,3.6,New BEL Road,1,1,1,2,0,1
Arabian Mexico,400,2, ,11am – 11pm (Mon-Sun),22,3.3,Bannerghatta Road,1,1,1, ,0,1
Arabian Smoothie,100,1, ,12noon – 10pm (Mon-Sun),4,3.2,Brigade Road,1,1,0, ,0,1
Aramane Donne Biriyani,300,1, ,"11:30am – 4pm, 6:30pm – 11:30pm (Mon),11:30am...",168,3.8,BTM,1,1,1, ,0,1
Aramane Donne Briyani,300,3, ,"11:30am – 4pm, 6:30pm – 10:30pm (Mon-Sun)",299,3.5,JP Nagar,1,1,1,2,0,1
Aramane Restaurant,800,5, ,11:30am – 11:30pm (Mon-Sun),87,3,Bannerghatta Road,1,1,1, ,0,1
Aranha's,500,3, ,10am – 10pm (Mon-Sun),22,3.7,Yelahanka,1,1,0, ,0,1
Arbor Brewing Company,2000,3,3,"12midnight – 12:30AM, 12noon – 12midnight (Mon-Sun)",8136,4.5,Brigade Road,2,1,1, ,0,1
Archana's First Crush,400,2, ,9am – 10pm (Mon-Sun),28,3.7,Sarjapur Road,1,1,1, ,0,1
Archanas Biryani,200,1, ,"Closed (Mon),12noon – 5pm, 7pm – 11:30pm (Tue-Sun)",13,3.5,Yelahanka,1,0,0, ,0,1
Arirang Korean Restaurant,1400,1, ,"Closed (Mon),12noon – 3pm, 5pm – 10pm...",219,4,Kammanahalli,1,1,1, ,0,1
Arjun's Kitchen,250,1, ,10:30am – 10:30pm (Mon-Sun),13,3.6,Nagawara,1,1,0, ,0,1
Armaani Caffe,250,1, ,8am – 11pm (Mon-Sun),8,3.4,BTM,1,1,1, ,0,1
Arogya Ahaara,300,1,1,8am – 9:30pm (Mon-Sun),336,4.6,HSR,2,1,0, ,0,1
Arogya Thaana,200,2, ,"2pm – 11pm (Mon),9am – 11pm (Tue-Sun)",63,3.7,Whitefield,1,0,0, ,0,1
Aroma Bakery and Sweets,200,2, ,8am – 10:30pm (Mon-Sun),5,3.3,Yelahanka,1,1,0, ,0,1
Aroma Fine Dine,900,4,1,11:30am – 11:30pm (Mon-Sun),118,4.1,HSR,1,1,1, ,0,1
Aroma Of Asia,400,2, ,1:30pm – 11pm (Mon-Sun),45,3.9,Frazer Town,1,1,0, ,0,1
Aroma Spice,800,4,1,11am – 11:30pm (Mon-Sun),78,3.7,Kalyan Nagar,1,1,1, ,0,1
Aroma's Hyderabad House,750,3, ,"11:45am – 5pm, 7pm – 11:30pm (Mon, Tue, Wed...",420,4.2,Nagawara,1,1,0, ,0,1
Aromas Of South,1000,1,1,"7am – 3pm, 7pm – 11pm (Mon-Sun)",46,3.7,Hotel 37th Crescent Seshadripuram,1,1,1, ,0,1
Art Blend Cafe,900,3, ,9am – 10pm (Mon-Sun),924,3.4,HSR,1,1,1, ,0,1
Art Cafe,1000,1, ,12noon – 9pm (Mon-Sun),6,3.5,Sheraton Grand Bangalore Hotel at Brigade Gateway,1,1,0, ,0,1
Art of Biryani & Curries,250,1, ,"Closed (Mon),12:30pm – 3pm, 6:30pm – 10:30pm...",7,3.5,Rammurthy Nagar,1,1,1, ,0,1
Art of Delight,400,2,2,"12noon – 11:30pm (Mon-Thu),12noon – 12:30AM...",1824,4.4,Residency Road,1,1,0,1,0,1
Artinci Artisanal Ice Cream,300,2,1,"10am – 10pm (Mon-Sat),1pm – 10pm (Sun)",33,3.8,Whitefield,1,1,1,2,0,1
Artville Cafe,700,1, ,11am – 10:30pm (Mon-Sun),87,3.8,Kalyan Nagar,1,1,1, ,0,1
Arun Icecreams,200,1, ,10:30am – 9:30pm (Mon-Sun),5,3.4,JP Nagar,1,1,0, ,0,1
Arya Bhavan Sweets,300,3, ,11am – 11pm (Mon-Sun),4,3.2,MG Road,1,1,0,2,0,1
Arya Hungry?,450,1,1,"8:30am – 10:30pm (Mon-Sat),Closed (Sun)",235,4.2,Koramangala 7th Block,2,1,1, ,0,1
As On Fire,400,3, ,11am – 10:30pm (Mon-Sun),40,3.4,Banashankari,1,1,1,1,0,1
Asaivam Restaurant,500,2, ,"11:30am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",54,3.9,Indiranagar,1,1,1, ,0,1
Asha Food Camp,800,3, ,8am – 10:30pm (Mon-Sun),517,4.1,Malleshwaram,1,1,0,1,0,1
Asha Sweets Center,200,2, ,8:30am – 10pm (Mon-Sun),52,4.1,Indiranagar,2,1,1,7,0,1
Asha Tiffins,150,1, ,"7am – 3:30pm, 4:30pm – 10pm (Mon-Sun)",206,4.4,HSR,1,1,0, ,0,1
Asharfilal,150,1, ,"10am – 11pm (Mon-Sat),12noon – 11pm (Sun)",8,3.5,Bannerghatta Road,1,1,0, ,0,1
Ashirvaad Grand,400,3, ,7am – 11pm (Mon-Sun),89,4,BTM,1,1,1, ,1,1
Ashirwad Grand,600,3, ,7am – 10:30pm (Mon-Sun),28,2.9,Jalahalli,1,1,0, ,0,1
Ashraya Upachar,350,3, ,7am – 10:30pm (Mon-Sun),71,3.6,KR Puram, ,1,0, ,0,1
Asia Alive - DoubleTree Suites By Hilton,2000,8, ,24 Hours (Mon-Sun),211,4,"DoubleTree Suites By Hilton, Sarjapur Road",1,1,1, ,0,1
Asia In A Box,550,2, ,"12noon – 3:30pm, 7pm – 10:45pm (Mon-Sun)",7,3.4,Bellandur,1,1,1,2,0,1
Asia Kitchen By Mainland China,1500,4,2,"12noon – 3:30pm, 7pm – 11:30pm (Mon-Fri),12noon...",1500,4.8,Koramangala 5th Block,1,1,1,6,0,1
Athithi,650,4, ,"11:30am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",79,2.9,Bannerghatta Road,1,1,0, ,0,1
Athithi Grand Restaurant,700,3, ,11:30am – 10:30pm (Mon-Sun),71,3,Kanakapura Road,1,1,1, ,0,1
Atithi,800,2, ,"11:30am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",219,3.9,HSR,1,1,1,1,0,1
Atithi Aramane Veg,400,3,1,7am – 10pm (Mon-Sun),36,3.9,Bellandur,1,1,1, ,0,1
Atithi Family Bar & Restaurant,500,3, ,"11am – 11pm (Mon, Tue, Wed, Thu, Sun), 11am –...",30,3.6,Bellandur,2,1,1, ,0,1
Atithi Point Ande Ka Funda,150,1, ,10am – 10pm (Mon-Sun),28,3.3,Banashankari,1,1,0, ,0,1
Atithi Sarkar Mess,300,1, ,9am – 10:30pm (Mon-Sun),30,2.9,Nagarbhavi,1,1,0, ,0,0
Atithi Satkar,400,4, ,7am – 10pm (Mon-Sun),79,3.1,Sanjay Nagar,1,1,0, ,0,1
Atithi Veg,250,6, ,7am – 10:30pm (Mon-Sun),7,3.5,International Airport,1,1,0, ,0,1
Atithii,750,3, ,7:30am – 11pm (Mon-Sun),18,3.6,Hebbal,1,1,1, ,0,1
Atithis Juice and Chats,250,2, ,4:30pm – 9:30pm (Mon-Sun),11,3.6,Malleshwaram,1,1,0, ,0,1
Atta Galata,200,2, ,"Closed (Mon),11am – 8pm (Tue-Sun)",199,4.1,Koramangala 5th Block,1,1,0, ,0,1
Attic Lounge,700,1, ,"11am – 10:30pm (Mon-Fri),11am – 12midnight...",1121,4.1,Koramangala 4th Block,1,1,1, ,0,1
Attic Lounge,700,1, ,"11am – 10:30pm (Mon-Fri),11am – 12midnight...",1121,4.1,Koramangala 4th Block,1,1,1, ,0,0
Aubree,250,1, ,6am – 12midnight (Mon-Sun),10,3.3,Kempegowda International Airport,1,1,0, ,0,1
Aubree,400,2,1,9am – 11pm (Mon-Sun),670,4.4,Sadashiv Nagar,2,1,1,1,1,1
Auntie Anne's,500,1, ,11am – 11pm (Mon-Sun),21,3.9,"Forum Neighbourhood Mall, Whitefield",1,1,0, ,0,1
Auntie Fung's,600,2,1,12noon – 11pm (Mon-Sun),511,4.1,New BEL Road,2,1,1, ,0,1
Aura - Radha Regent,1200,6,1,5pm – 11pm (Mon-Sun),112,3.5,"Radha Regent Bengaluru, Electronic City",1,1,1, ,0,1
AutoExpress -  Hot Dogs,300,1,1,3pm – 11:30pm (Mon-Sun),16,3.7,Indiranagar,1,1,1,6,0,1
Avanti Indian Barbeque & Grill,1100,1, ,7am – 11:30pm (Mon-Sun),46,3.4,Domlur,1,1,0, ,0,1
Avista Cafe Pizzeria,600,3,3,11:30am – 11pm (Mon-Sun),463,4.6,Hennur,1,1,1, ,0,0
Avon Bar & Kitchen,700,3, ,10am – 1am (Mon-Sun),98,3.7,BTM,1,1,0, ,0,1
Axomi - Taste of Assam,500,1,1,12:30pm – 11pm (Mon-Sun),585,4.1,Koramangala 7th Block,1,1,1,1,1,1
Ayda Persian Kitchen,950,2, ,12noon – 10:30pm (Mon-Sun),214,3.9,Church Street,1,1,0,1,0,1
Ayodhya Grand,500,2, ,11am – 11pm (Mon-Sun),53,3.8,Nagarbhavi,1,1,0, ,0,1
Ayodhya Sagara,200,3, ,7am – 10pm (Mon-Sun),49,3.6,Basaveshwara Nagar,1,1,1, ,1,1
Ayodhya Upachar,350,3, ,7am – 10:30pm (Mon-Sun),618,4.1,Banashankari,1,1,1, ,0,1
Azimmo Treat,300,2, ,"12noon – 10:30pm (Mon, Tue, Wed, Fri, Sat, Sun)...",28,3.8,HSR,2,0,0, ,0,1
Azura Restaurant,500,5, ,12noon – 11pm (Mon-Sun),90,2.8,Bellandur,1,1,1, ,0,1
Azure - Taj Yeshwantpur,2500,3, ,6:30pm – 12midnight (Mon-Sun),154,4,Taj Yeshwantpur,1,1,1, ,0,1
B & B The Pub,900,2, ,12noon – 12midnight (Mon-Sun),25,3.6,Basavanagudi,1,1,0, ,0,1
B Bhagat Tarachand,900,3,1,"12noon – 4pm, 7pm – 11:30pm (Mon-Sun)",126,4,City Market,1,1,1, ,0,1
b Café - Shangri-La Hotel,3400,4,1,24 Hours (Mon-Sun),395,4.4,"Shangri-La Hotel, Vasanth Nagar",1,1,1, ,0,1
B-hive,1200,2,1,"12noon – 11:35pm (Mon-Thu),12noon – 1am...",1398,4.3,Koramangala 1st Block,1,1,1, ,0,1
B.M.W - Bhookh Mitaane Wala,500,3,1,9pm – 5am (Mon-Sun),478,3.9,HSR, ,1,1,1,0,1
B1,1100,6, ,11am – 11:30pm (Mon-Sun),110,3.9,New BEL Road,1,1,1, ,0,1
B52 - Sports Bar,1200,4,1,11am – 11pm (Mon-Sun),91,3.4,"RG Royal Hotels, Yeshwantpur",1,1,1, ,0,1
Baahubelly,500,3, ,7:30am – 10pm (Mon-Sun),68,3.7,Brigade Road,1,1,1, ,0,1
Baba Chatkora,1000,2,1,"Closed (Mon),12noon – 11:30pm (Tue-Sun)",774,4.2,Koramangala 6th Block,1,1,1, ,1,1
Baba Da Dhaba,650,1,2,"11:30am – 10:30pm (Mon, Tue, Wed, Thu, Sun)...",263,4,Yelahanka,1,1,0,7,0,1
Baba Fattoosh,300,1, ,"11:30am – 3pm, 6:30pm – 10:30pm (Mon, Wed, Thu...",24,3.7,Indiranagar,1,1,0,1,0,1
Baba Ka Dhaba,400,1, ,8:30am – 11pm (Mon-Sun),175,3.8,BTM,1,1,1, ,0,1
Babayaga,1000,1,1,1pm – 12:30AM (Mon-Sun),148,4.2,Indiranagar,2,1,1, ,0,1
Babu Moshai,500,2, ,12noon – 11pm (Mon-Sun),25,3.6,Bannerghatta Road,1,1,1, ,0,1
Bademiyan Kebabs,600,4, ,11am – 10pm (Mon-Sun),82,3.8,"Orion Mall, Malleshwaram",1,1,1,1,0,1
Bahar Cafe,750,6,1,12noon – 11:30pm (Mon-Sun),833,3.9,Marathahalli,1,1,1, ,0,1
Baisakhi,500,1,1,"11:30am – 4pm, 7pm – 11pm (Mon-Sun)",488,3.7,Basavanagudi,1,1,1, ,0,1
Baithak,850,4,1,11am – 11:30pm (Mon-Sun),40,3.8,Nagawara, ,1,0, ,0,1
Baithak,1100,3,1,8:30am – 12midnight (Mon-Sun),1305,4.2,HSR,2,1,1, ,0,1
Bak Bak Bar,1400,4,2,"11am – 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am –...",1362,4.1,Koramangala 6th Block,1,1,1, ,0,1
Bakasur,1200,1,1,"12noon – 3:30pm, 7pm – 11:30pm (Mon-Sun)",786,4,Nagawara,1,1,1,1,0,0
Bake Land,150,1, ,8am – 10pm (Mon-Sun),13,3.2,Wilson Garden,1,1,0, ,0,1
Bake Ur Wish,500,2, ,10am – 10pm (Mon-Sun),164,4,Nagarbhavi,1,1,1, ,0,1
Baker's Cafe,200,2,1,"9am – 12midnight (Mon-Fri),Closed (Sat-Sun)",4,3.5,Marathahalli,1,0,0,1,0,1
Baker's Home,250,2,1,10:30am – 9:30pm (Mon-Sun),161,4,Bellandur,2,1,1, ,0,1
Bakers Abode,300,3, ,"11:30am – 8pm (Mon-Sat),Closed (Sun)",140,4,Yelahanka,2,1,1, ,0,1
Bakers Day,200,2, ,8am – 11:30pm (Mon-Sun),41,3.9,Basavanagudi,1,1,0, ,0,1
Bakers Paradise,100,3, ,7am – 10:30pm (Mon-Sun),4,3.2,Rajajinagar,2,1,0, ,0,1
Bakers Town,650,3, ,11am – 11:30pm (Mon-Sun),70,3.9,Kumaraswamy Layout,1,1,1,1,0,1
Bakers77,400,2, ,10:30am – 10pm (Mon-Sun),30,3.8,Jayanagar,1,1,1,1,0,1
Bakingo,350,2,1,10am – 10pm (Mon-Sun),61,4,Koramangala 1st Block,1,1,1,1,0,1
Balaji Bombay Vada Pav Gujrati Dalebi,200,4, ,11am – 11pm (Mon-Sun),36,3.8,JP Nagar,1,1,1, ,0,1
Balaji Curry Point & Biryani,150,2, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",6,3.2,Banashankari,1,1,0, ,0,1
Balaji's Veg,300,4, ,7am – 10pm (Mon-Sun),147,3.9,BTM,1,1,0, ,0,1
Balle Balle Dhaba,500,1,1,"11am – 3pm, 6:30pm – 11:30pm (Mon-Sun)",186,3.6,Kalyan Nagar,1,1,1, ,0,0
Balle Balle Punjab,250,1, ,"12:30pm – 3:30pm, 7pm – 10pm (Mon-Sun)",225,4,Yelahanka,1,1,1, ,0,1
Baluchi - The Lalit Ashok Bangalore,3700,3,1,"12:30pm – 3pm, 7pm – 11:30pm (Mon-Sun)",127,3.9,"The Lalit Ashok Bangalore, Seshadripuram",1,1,1, ,0,1
Bamboo Heights,500,3, ,11am – 11pm (Mon-Sun),105,3.7,BTM,1,1,0, ,0,1
Bamboo Hut,650,3,1,10am – 10pm (Mon-Sun),1267,4.6,Nagarbhavi,2,1,1, ,0,1
Bamboo Shades,1000,7, ,7:30am – 10:30pm (Mon-Sun),46,3.3,Electronic City,1,1,1, ,0,1
Bamboo Shoots,500,3, ,12noon – 11pm (Mon-Sun),14,3.6,Rajarajeshwari Nagar, ,1,1, ,0,1
Bamboo Shore Cafe,700,2, ,10:30am – 10:30pm (Mon-Sun),27,3.4,Kumaraswamy Layout,1,0,0, ,0,1
Bambooz,800,2, ,11am – 11pm (Mon-Sun),8,3.4,Rajarajeshwari Nagar,1,1,0, ,0,1
Bamey's Restro Cafe,600,6, ,11:30am – 10:30pm (Mon-Sun),485,4.2,Koramangala 5th Block,1,1,1, ,0,0
Banana Beach Bar,1300,2, ,"12noon – 11:30pm (Mon, Tue, Wed, Thu, Sun), 12noon...",1000,3.8,Koramangala 6th Block, ,1,1, ,0,1
Banana Leaf,600,3, ,10:30am – 3am (Mon-Sun),16,2.9,Marathahalli,1,1,1, ,0,1
Banana Leaf,500,1, ,11am – 11pm (Mon-Sun),12,3.5,Domlur, ,1,0, ,0,1
Banarasi Chat Centre,150,1, ,11am – 11pm (Mon-Sun),6,3.2,Kammanahalli,1,1,0, ,0,1
Banarasi Tadka,200,1, ,11am – 11pm (Mon-Sun),13,2.8,Jeevan Bhima Nagar, ,1,0,1,0,1
Banashankari Donne Biryani,350,2, ,"7am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",26,3.5,Banashankari,1,1,0, ,0,1
Banashankari Restaurant,400,1, ,"11am – 4pm, 6pm – 10pm (Mon-Sat),10am – 4pm...",20,3.6,New BEL Road,1,0,0, ,0,1
BanBay,800,5, ,10:30am – 11pm (Mon-Sun),43,4,Vasanth Nagar,1,1,0, ,0,1
Banchharam,200,2, ,10am – 9:30pm (Mon-Sun),93,3.8,Marathahalli,1,1,0,2,0,1
Bang - The Ritz-Carlton,3000,1, ,6pm – 11:30pm (Mon-Sun),439,4.3,The Ritz-Carlton,1,1,1, ,0,1
Bangaliana,500,1, ,"12noon – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",112,3.1,Marathahalli,1,1,1,6,0,1
Bangalore Agarwal Bhavan,500,4, ,10am – 10:30pm (Mon-Sun),15,3.5,Electronic City,1,1,1,5,0,1
Bangalore Agarwal Bhavan,400,3,2,7am – 11am (Mon-Sun),119,3.8,Jayanagar,1,1,1,2,0,1
BANGALORE BOX,1500,4,1,"3:30pm – 12midnight (Mon, Wed), 3:30am –...",543,4.2,BTM,2,1,1, ,0,1
Bangalore Brew Works,1700,2,3,"12noon – 11:30pm (Mon-Tue),12noon – 1am (Wed-Sun)",2131,4.3,Residency Road,2,1,1, ,0,1
Bangalore Bytes,300,3, ,"10:30am – 5pm, 7pm – 11pm (Mon-Thu),11am –...",120,3.6,Brigade Road,1,1,1, ,0,1
Bangalore Cafe,400,2,1,7am – 10pm (Mon-Sun),186,3.7,HSR,1,1,1, ,0,1
Bangalore Cakes,250,1, ,9am – 11pm (Mon-Sun),16,2.9,Electronic City,1,1,1,1,0,1
Bangalore Mandarin,1100,1, ,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",693,4.2,Whitefield,1,1,1,1,0,1
Bangalore Masala House,500,4,2,"10:30am – 11pm (Mon-Sat),12noon – 11pm (Sun)",242,4.2,Vasanth Nagar, ,1,1, ,0,1
Bangalore Pub Exchange,1000,6, ,"11am – 11pm (Mon, Tue, Wed, Thu, Sun), 12midnight...",142,3.7,"1 MG Road Mall, MG Road",2,1,1, ,0,0
Bangalore Shadi Biriyani,150,1, ,12noon – 11pm (Mon-Sun),43,3.7,Vasanth Nagar,1,1,1, ,0,1
